Title,Note,URL,Tags,Comment
,,,,
S. Watanabe woodcut prints,乔布斯生前曾多次亲自走进银座的这家百年老店挑选版画。在他去世前三个月，女儿丽莎去探望他时，他的病房里挂着的依然是川瀬巴水的木版画。,https://www.google.com/maps/place/S.+Watanabe+woodcut+prints/data=!4m2!3m1!1s0x60188be8e6ba4125:0xcf1838787db1c1a7,,
Akihabara Electric Town,秋叶原电器街,https://www.google.com/maps/place/Akihabara+Electric+Town/data=!4m2!3m1!1s0x60188c1da0983467:0x6fc7ec7e7222177c,,
Kotoku-in,日本三大佛之一,https://www.google.com/maps/place/Kotoku-in/data=!4m2!3m1!1s0x601845f2df49bc05:0x1ec393b02d6bef4c,,
Nezu Museum,根津美术馆，隈研吾设计的竹林走廊,https://www.google.com/maps/place/Nezu+Museum/data=!4m2!3m1!1s0x60188b63fb3c4ec5:0xd0ca2110e541cb1c,,
WITH HARAJUKU HALL,6月6-9日竞赛与特别单元,https://www.google.com/maps/place/WITH+HARAJUKU+HALL/data=!4m2!3m1!1s0x60188d3ced759743:0xe9cd4e70975bad6b,,
Mount Fuji,富士山,https://www.google.com/maps/place/Mount+Fuji/data=!4m2!3m1!1s0x6019629a42fdc899:0xa6a1fcc916f3a4df,,
SMOCO SMOKING&COFFEE BAR 浅草橋店,可以抽烟的咖啡店,https://www.google.com/maps/place/SMOCO+SMOKING%26COFFEE+BAR+%E6%B5%85%E8%8D%89%E6%A9%8B%E5%BA%97/data=!4m2!3m1!1s0x60188f0c991edfcb:0x58445f8a2f941750,,
Meigetsu-in,六月份梅雨季节，明月院的绣球花就竞相开放了,https://www.google.com/maps/place/Meigetsu-in/data=!4m2!3m1!1s0x601845a31a42fe43:0x44126f63517f176c,,
忍野八海,据说很坑，不去这个地方,https://www.google.com/maps/place/%E5%BF%8D%E9%87%8E%E5%85%AB%E6%B5%B7/data=!4m2!3m1!1s0x601966859f99842b:0x163aa46bb0af9f71,,
Hirano beach,看天鹅和富士山同框就是在这里,https://www.google.com/maps/place/Hirano+beach/data=!4m2!3m1!1s0x60196fec8ed01c37:0xaea15f41d50a234a,,
Kaminarimon Gate,雷门（浅草寺）,https://www.google.com/maps/place/Kaminarimon+Gate/data=!4m2!3m1!1s0x60188ec6db068cd1:0xd9a856805c8012bd,,
Yokohama Museum of Art,横滨美术馆,https://www.google.com/maps/place/Yokohama+Museum+of+Art/data=!4m2!3m1!1s0x60185c5d4d114559:0xe74cafa40a78ac06,,
Arakura Fuji Sengen Shrine,景色如图所示,https://www.google.com/maps/place/Arakura+Fuji+Sengen+Shrine/data=!4m2!3m1!1s0x6019674cda070c6b:0xdc6154ac26eed07d,,
Shichirigahama Beach,富岳三十六景之一，视野越过江之岛，能看到富士山,https://www.google.com/maps/place/Shichirigahama+Beach/data=!4m2!3m1!1s0x60184f44733a0eb5:0x9d715303f78abfa0,,
Yokohama Station,横滨地铁站,https://www.google.com/maps/place/Yokohama+Station/data=!4m2!3m1!1s0x60185c13a61e5d61:0x11dcccf5b320e9b4,,
LINE CUBE SHIBUYA,电影节颁奖礼,https://www.google.com/maps/place/LINE+CUBE+SHIBUYA/data=!4m2!3m1!1s0x60188cb803a8804f:0x99c035bb4f34ccfe,,
Mandarake Nakano,中野百老汇是 Mandarake 的发源地和精神图腾。它不是一家店，而是散落在整座大楼2层到4层的几十家独立主题分店。有专卖古董玩具的“门”店、专卖怪兽软胶的“大怪兽”店、专卖怀旧游戏机原装卡带的“Galaxy”店,https://www.google.com/maps/place/Mandarake+Nakano/data=!4m2!3m1!1s0x6018f3cec603af7b:0x278fd59d53c2cc8e,,
Kamakurakōkō-Mae Station,鎌倉高校前駅,https://www.google.com/maps/place/Kamakurak%C5%8Dk%C5%8D-Mae+Station/data=!4m2!3m1!1s0x60184f16e67c1621:0x1941385abcdafc7d,,
Kabukicho,歌舞伎町,https://www.google.com/maps/place/Kabukicho/data=!4m2!3m1!1s0x60188cd84e865c35:0x33418e00dfeefac,,
